type,date,time,input_datasize_bytes,duration_s,throughput_bytes_s,throughput_per_node_bytes_s,cpu_used_percent,ram_used_bytes,disk_read_bytes_s,disk_write_bytes_s,network_receive_bytes_s,network_transmit_bytes_s,num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
ScalaSparkWordcount,2024-12-08,02:57:16,1093308403,52.39,20868646,10434323,33.954949494949375,1907321018.1818182,6237044.018855219,5803860.9885521885,7729427.901363637,5949694.384494949,2,4,1,640m,512.0,,,,2024-12-08,02:57:16
ScalaSparkWordcount,2024-12-08,02:58:28,1093308403,51.002,21436579,10718289,31.146818181818198,1789378932.3636363,6055298.844444444,4563822.226531986,7457396.627878788,5920164.558888889,2,4,1,640m,1024.0,,,,2024-12-08,02:58:29
ScalaSparkWordcount,2024-12-08,02:59:41,1093308403,49.784,21961039,10980519,35.5535353535355,1887224925.090909,6408074.774410775,7267043.2107744105,8963328.353030303,6524090.321717173,2,4,1,640m,,,,4.0,2024-12-08,02:59:41
ScalaSparkWordcount,2024-12-08,03:00:44,1093308403,50.718,21556615,10778307,34.19848484848475,1790390272.0,6332142.933333334,6491098.074074075,8366937.8808080815,6406736.371717173,2,4,1,640m,,,,8.0,2024-12-08,03:00:44
ScalaSparkWordcount,2024-12-08,03:01:50,1093308403,50.231,21765610,10882805,29.440404040404157,1517200477.090909,6267246.847138047,3454249.2013468016,6940582.462121215,5863944.185858586,2,4,1,640m,,,,10.0,2024-12-08,03:01:50
ScalaSparkWordcount,2024-12-08,03:03:11,1093308403,51.871,21077449,10538724,35.2747979797979,1718687185.4545455,6255294.801885522,3324250.711919192,6117986.512222222,5465232.347929293,2,4,1,640m,,,,12.0,2024-12-08,03:03:11
ScalaSparkWordcount,2024-12-08,03:06:21,5466538798,86.678,63067200,31533600,34.75526960784317,1694433962.6666667,15035801.54422658,2886505.3559912853,12950328.060968138,12065798.301531862,2,4,1,640m,128.0,,,,2024-12-08,03:06:21
ScalaSparkWordcount,2024-12-08,03:08:26,5466538798,87.26,62646559,31323279,52.939736519607806,2209683000.888889,18827242.917647056,4511181.748148148,16761588.180810865,15421398.31068219,2,4,1,640m,256.0,,,,2024-12-08,03:08:26
ScalaSparkWordcount,2024-12-08,03:10:09,5466538798,90.757,60232696,30116348,51.81687306501551,2203616741.0526314,17795240.65882353,4392249.43488132,15941630.29613003,14586869.34489164,2,4,1,640m,512.0,,,,2024-12-08,03:10:10
ScalaSparkWordcount,2024-12-08,03:12:02,5466538798,100.483,54402623,27201311,47.98621553884715,2190770176.0,16329956.068838762,4101405.2143692565,14656540.43157895,13466122.507518796,2,4,1,640m,1024.0,,,,2024-12-08,03:12:02
ScalaSparkWordcount,2024-12-08,03:13:49,5466538798,92.437,59137994,29568997,45.42552459580323,2054088811.7894738,17895630.420364633,4134123.6573787406,15897740.970958032,14563539.151547983,2,4,1,640m,,,,4.0,2024-12-08,03:13:49
ScalaSparkWordcount,2024-12-08,03:15:35,5466538798,92.336,59202681,29601340,48.799535603715164,2163265104.8421054,18370806.01362229,4454739.43116615,16541634.424303407,15117999.055263156,2,4,1,640m,,,,8.0,2024-12-08,03:15:36
ScalaSparkWordcount,2024-12-08,03:17:12,5466538798,89.292,61220924,30610462,47.59987745098038,2058693745.7777777,18649226.931590416,4564983.243572985,16781476.676154003,15341880.936672794,2,4,1,640m,,,,10.0,2024-12-08,03:17:13
ScalaSparkWordcount,2024-12-08,03:18:51,5466538798,87.0,62833779,31416889,36.585302477521466,1639206684.4444444,14674671.42558027,2131204.620716838,12544689.292585062,12306420.0807289,2,4,1,640m,,,,12.0,2024-12-08,03:18:51
